season,round,race_name,circuit,driver,team,grid,position,points,status,won,dnf,driver_avg_finish_last3,driver_circuit_win_rate,driver_dnf_rate,team_avg_points_last3,cumulative_points,driver_championship_pos,gap_to_leader,regulation_era,home_race
2023,5,Miami Grand Prix,miami,albon,Williams,11,14.0,0.0,Finished,0,0,17.333333333333332,0.0,0.15873015873015872,0.0,1.0,17.0,86.0,2,0
2023,6,Monaco Grand Prix,monaco,albon,Williams,13,14.0,0.0,+1 Lap,0,0,15.333333333333334,0.0,0.15625,0.0,1.0,18.0,112.0,2,0
2023,7,Spanish Grand Prix,catalunya,albon,Williams,18,16.0,0.0,+1 Lap,0,0,13.333333333333334,0.0,0.15384615384615385,0.0,1.0,18.0,137.0,2,0
2023,8,Canadian Grand Prix,villeneuve,albon,Williams,9,7.0,6.0,Finished,0,0,14.666666666666666,0.0,0.15151515151515152,0.0,7.0,18.0,163.0,2,0
2023,9,Austrian Grand Prix,red_bull_ring,albon,Williams,10,11.0,0.0,Finished,0,0,12.333333333333334,0.0,0.14925373134328357,2.0,7.0,12.0,182.0,2,0
2023,10,British Grand Prix,silverstone,albon,Williams,8,8.0,4.0,Finished,0,0,11.333333333333334,0.0,0.14705882352941177,2.0,11.0,12.0,208.0,2,0
2023,11,Hungarian Grand Prix,hungaroring,albon,Williams,16,11.0,0.0,+1 Lap,0,0,8.666666666666666,0.0,0.14492753623188406,3.3333333333333335,11.0,13.0,230.0,2,0
2023,12,Belgian Grand Prix,spa,albon,Williams,15,14.0,0.0,Finished,0,0,10.0,0.0,0.14285714285714285,1.3333333333333333,11.0,13.0,256.0,2,0
2023,13,Dutch Grand Prix,zandvoort,albon,Williams,4,8.0,4.0,Finished,0,0,11.0,0.0,0.14084507042253522,1.3333333333333333,15.0,13.0,281.0,2,0
2023,14,Italian Grand Prix,monza,albon,Williams,6,7.0,6.0,Finished,0,0,11.0,0.0,0.1388888888888889,1.3333333333333333,21.0,13.0,302.0,2,0
2023,15,Singapore Grand Prix,marina_bay,albon,Williams,14,11.0,0.0,Finished,0,0,9.666666666666666,0.0,0.136986301369863,3.3333333333333335,21.0,13.0,321.0,2,0
2023,16,Japanese Grand Prix,suzuka,albon,Williams,13,20.0,0.0,Collision damage,0,1,8.666666666666666,0.0,0.13513513513513514,3.3333333333333335,21.0,13.0,331.0,2,0
2023,17,Qatar Grand Prix,losail,albon,Williams,13,13.0,0.0,Finished,0,0,12.666666666666666,,0.14666666666666667,2.0,21.0,13.0,357.0,2,0
2023,18,United States Grand Prix,americas,albon,Williams,15,9.0,2.0,Finished,0,0,14.666666666666666,0.0,0.14473684210526316,0.0,23.0,13.0,383.0,2,0
2023,19,Mexico City Grand Prix,rodriguez,albon,Williams,14,9.0,2.0,Finished,0,0,14.0,0.0,0.14285714285714285,1.0,25.0,13.0,406.0,2,0
2023,20,São Paulo Grand Prix,interlagos,albon,Williams,13,20.0,0.0,Collision,0,1,10.333333333333334,0.0,0.14102564102564102,1.6666666666666667,25.0,13.0,429.0,2,0
2023,21,Las Vegas Grand Prix,vegas,albon,Williams,5,12.0,0.0,Finished,0,0,12.666666666666666,,0.1518987341772152,1.6666666666666667,25.0,13.0,454.0,2,0
2023,22,Abu Dhabi Grand Prix,yas_marina,albon,Williams,14,14.0,0.0,Finished,0,0,13.666666666666666,0.0,0.15,0.6666666666666666,25.0,13.0,479.0,2,0
2024,1,Bahrain Grand Prix,bahrain,albon,Williams,13,15.0,0.0,+1 Lap,0,0,15.333333333333334,0.0,0.14814814814814814,0.0,0.0,13.0,505.0,2,0
2024,2,Saudi Arabian Grand Prix,jeddah,albon,Williams,12,11.0,0.0,Finished,0,0,13.666666666666666,0.0,0.14634146341463414,0.0,0.0,11.0,26.0,2,0
2024,3,Australian Grand Prix,albert_park,albon,Williams,12,11.0,0.0,+1 Lap,0,0,13.333333333333334,0.0,0.14457831325301204,0.0,0.0,12.0,51.0,2,0
2024,4,Japanese Grand Prix,suzuka,albon,Williams,14,20.0,0.0,Accident,0,1,12.333333333333334,0.0,0.14285714285714285,0.0,0.0,14.0,51.0,2,0
2024,5,Chinese Grand Prix,shanghai,albon,Williams,14,12.0,0.0,Finished,0,0,14.0,0.0,0.15294117647058825,0.0,0.0,14.0,77.0,2,0
2024,6,Miami Grand Prix,miami,albon,Williams,14,18.0,0.0,Finished,0,0,14.333333333333334,0.0,0.1511627906976744,0.0,0.0,14.0,102.0,2,0
2024,7,Emilia Romagna Grand Prix,imola,albon,Williams,14,20.0,0.0,Retired,0,1,16.666666666666668,0.0,0.14942528735632185,0.0,0.0,15.0,120.0,2,0
2024,8,Monaco Grand Prix,monaco,albon,Williams,9,9.0,2.0,+1 Lap,0,0,16.666666666666668,0.0,0.1590909090909091,0.0,2.0,15.0,145.0,2,0
2024,9,Canadian Grand Prix,villeneuve,albon,Williams,10,20.0,0.0,Collision,0,1,15.666666666666666,0.0,0.15730337078651685,0.6666666666666666,2.0,13.0,151.0,2,0
2024,10,Spanish Grand Prix,catalunya,albon,Williams,0,18.0,0.0,+1 Lap,0,0,16.333333333333332,0.0,0.16666666666666666,0.6666666666666666,2.0,15.0,176.0,2,0
2024,11,Austrian Grand Prix,red_bull_ring,albon,Williams,16,15.0,0.0,+1 Lap,0,0,15.666666666666666,0.0,0.16483516483516483,0.6666666666666666,2.0,16.0,201.0,2,0
2024,12,British Grand Prix,silverstone,albon,Williams,9,9.0,2.0,Finished,0,0,17.666666666666668,0.0,0.16304347826086957,0.0,4.0,17.0,211.0,2,0
2024,13,Hungarian Grand Prix,hungaroring,albon,Williams,13,14.0,0.0,+1 Lap,0,0,14.0,0.0,0.16129032258064516,0.6666666666666666,4.0,16.0,227.0,2,0
2024,14,Belgian Grand Prix,spa,albon,Williams,10,12.0,0.0,Finished,0,0,12.666666666666666,0.0,0.1595744680851064,0.6666666666666666,4.0,16.0,237.0,2,0
2024,15,Dutch Grand Prix,zandvoort,albon,Williams,19,14.0,0.0,+1 Lap,0,0,11.666666666666666,0.0,0.15789473684210525,0.6666666666666666,4.0,17.0,249.0,2,0
2024,16,Italian Grand Prix,monza,albon,Williams,9,9.0,2.0,Finished,0,0,13.333333333333334,0.0,0.15625,0.0,6.0,17.0,267.0,2,0
2024,17,Azerbaijan Grand Prix,baku,albon,Williams,9,7.0,6.0,Finished,0,0,11.666666666666666,0.0,0.15463917525773196,0.6666666666666666,12.0,15.0,273.0,2,0
2024,18,Singapore Grand Prix,marina_bay,albon,Williams,11,20.0,0.0,Power Unit,0,1,10.0,0.0,0.15306122448979592,4.0,12.0,13.0,277.0,2,0
2024,19,United States Grand Prix,americas,albon,Williams,14,16.0,0.0,+1 Lap,0,0,12.0,0.0,0.16161616161616163,4.0,12.0,13.0,295.0,2,0
2024,20,Mexico City Grand Prix,rodriguez,albon,Williams,9,20.0,0.0,Collision,0,1,14.333333333333334,0.0,0.16,3.6666666666666665,12.0,13.0,310.0,2,0
2024,21,São Paulo Grand Prix,interlagos,albon,Williams,7,20.0,0.0,Withdrew,0,1,18.666666666666668,0.0,0.16831683168316833,0.3333333333333333,12.0,13.0,318.0,2,0
2024,22,Las Vegas Grand Prix,vegas,albon,Williams,17,20.0,0.0,Radiator,0,1,18.666666666666668,0.0,0.17647058823529413,0.3333333333333333,12.0,15.0,344.0,2,0
2024,23,Qatar Grand Prix,losail,albon,Williams,16,15.0,0.0,+1 Lap,0,0,20.0,0.0,0.18446601941747573,0.0,12.0,15.0,354.0,2,0
2024,24,Abu Dhabi Grand Prix,yas_marina,albon,Williams,18,11.0,0.0,+1 Lap,0,0,18.333333333333332,0.0,0.18269230769230768,0.0,12.0,16.0,379.0,2,0
2025,1,Australian Grand Prix,albert_park,albon,Williams,6,5.0,10.0,Finished,0,0,15.333333333333334,0.0,0.18095238095238095,0.0,10.0,15.0,387.0,2,0
2025,2,Chinese Grand Prix,shanghai,albon,Williams,10,7.0,6.0,Finished,0,0,10.333333333333334,0.0,0.1792452830188679,3.3333333333333335,16.0,5.0,15.0,2,0
2025,3,Japanese Grand Prix,suzuka,albon,Williams,9,9.0,2.0,Finished,0,0,7.666666666666667,0.0,0.17757009345794392,5.666666666666667,18.0,6.0,27.0,2,0
2025,4,Bahrain Grand Prix,bahrain,albon,Williams,15,12.0,0.0,Finished,0,0,7.0,0.0,0.17592592592592593,6.333333333333333,18.0,6.0,43.0,2,0
2025,5,Saudi Arabian Grand Prix,jeddah,albon,Williams,11,9.0,2.0,Finished,0,0,9.333333333333334,0.0,0.1743119266055046,3.0,20.0,7.0,58.0,2,0
