season,round,race_name,circuit,driver,team,grid,position,points,status
2010,6,Monaco Grand Prix,monaco,buemi,Toro Rosso,13,10,1.0,Finished
2010,6,Monaco Grand Prix,monaco,alguersuari,Toro Rosso,17,11,0.0,Finished
2010,6,Monaco Grand Prix,monaco,michael_schumacher,Mercedes,7,12,0.0,Finished
2010,6,Monaco Grand Prix,monaco,petrov,Renault,14,13,0.0,Brakes
2010,6,Monaco Grand Prix,monaco,chandhok,HRT,23,14,0.0,Collision
2010,6,Monaco Grand Prix,monaco,trulli,Lotus,19,15,0.0,Collision
2010,6,Monaco Grand Prix,monaco,kovalainen,Lotus,18,\N,0.0,Steering
2010,6,Monaco Grand Prix,monaco,bruno_senna,HRT,22,\N,0.0,Hydraulics
2010,6,Monaco Grand Prix,monaco,barrichello,Williams,9,\N,0.0,Suspension
2010,6,Monaco Grand Prix,monaco,kobayashi,Sauber,16,\N,0.0,Gearbox
2010,6,Monaco Grand Prix,monaco,grassi,Virgin,21,\N,0.0,Wheel
2010,6,Monaco Grand Prix,monaco,glock,Virgin,20,\N,0.0,Track rod
2010,6,Monaco Grand Prix,monaco,rosa,Sauber,15,\N,0.0,Hydraulics
2010,6,Monaco Grand Prix,monaco,button,McLaren,8,\N,0.0,Engine
2010,6,Monaco Grand Prix,monaco,hulkenberg,Williams,11,\N,0.0,Front wing
2010,7,Turkish Grand Prix,istanbul,hamilton,McLaren,2,1,25.0,Finished
2010,7,Turkish Grand Prix,istanbul,button,McLaren,4,2,18.0,Finished
2010,7,Turkish Grand Prix,istanbul,webber,Red Bull,1,3,15.0,Finished
2010,7,Turkish Grand Prix,istanbul,michael_schumacher,Mercedes,5,4,12.0,Finished
2010,7,Turkish Grand Prix,istanbul,rosberg,Mercedes,6,5,10.0,Finished
2010,7,Turkish Grand Prix,istanbul,kubica,Renault,7,6,8.0,Finished
2010,7,Turkish Grand Prix,istanbul,massa,Ferrari,8,7,6.0,Finished
2010,7,Turkish Grand Prix,istanbul,alonso,Ferrari,12,8,4.0,Finished
2010,7,Turkish Grand Prix,istanbul,sutil,Force India,11,9,2.0,Finished
2010,7,Turkish Grand Prix,istanbul,kobayashi,Sauber,10,10,1.0,Finished
2010,7,Turkish Grand Prix,istanbul,rosa,Sauber,13,11,0.0,Finished
2010,7,Turkish Grand Prix,istanbul,alguersuari,Toro Rosso,16,12,0.0,Finished
2010,7,Turkish Grand Prix,istanbul,liuzzi,Force India,18,13,0.0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,barrichello,Williams,15,14,0.0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,petrov,Renault,9,15,0.0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,buemi,Toro Rosso,14,16,0.0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,hulkenberg,Williams,17,17,0.0,+1 Lap
2010,7,Turkish Grand Prix,istanbul,glock,Virgin,21,18,0.0,+3 Laps
2010,7,Turkish Grand Prix,istanbul,grassi,Virgin,23,19,0.0,+3 Laps
2010,7,Turkish Grand Prix,istanbul,chandhok,HRT,24,20,0.0,Fuel pump
2010,7,Turkish Grand Prix,istanbul,bruno_senna,HRT,22,\N,0.0,Fuel pressure
2010,7,Turkish Grand Prix,istanbul,vettel,Red Bull,3,\N,0.0,Collision
2010,7,Turkish Grand Prix,istanbul,kovalainen,Lotus,20,\N,0.0,Hydraulics
2010,7,Turkish Grand Prix,istanbul,trulli,Lotus,19,\N,0.0,Hydraulics
2010,8,Canadian Grand Prix,villeneuve,hamilton,McLaren,1,1,25.0,Finished
2010,8,Canadian Grand Prix,villeneuve,button,McLaren,4,2,18.0,Finished
2010,8,Canadian Grand Prix,villeneuve,alonso,Ferrari,3,3,15.0,Finished
2010,8,Canadian Grand Prix,villeneuve,vettel,Red Bull,2,4,12.0,Finished
2010,8,Canadian Grand Prix,villeneuve,webber,Red Bull,7,5,10.0,Finished
2010,8,Canadian Grand Prix,villeneuve,rosberg,Mercedes,10,6,8.0,Finished
2010,8,Canadian Grand Prix,villeneuve,kubica,Renault,8,7,6.0,Finished
2010,8,Canadian Grand Prix,villeneuve,buemi,Toro Rosso,15,8,4.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,liuzzi,Force India,5,9,2.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,sutil,Force India,9,10,1.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,michael_schumacher,Mercedes,13,11,0.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,alguersuari,Toro Rosso,16,12,0.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,hulkenberg,Williams,12,13,0.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,barrichello,Williams,11,14,0.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,massa,Ferrari,6,15,0.0,+1 Lap
2010,8,Canadian Grand Prix,villeneuve,kovalainen,Lotus,19,16,0.0,+2 Laps
2010,8,Canadian Grand Prix,villeneuve,petrov,Renault,14,17,0.0,+2 Laps
2010,8,Canadian Grand Prix,villeneuve,chandhok,HRT,24,18,0.0,+4 Laps
