season,round,race_name,circuit,driver,team,grid,position,points,status
2010,10,British Grand Prix,silverstone,kobayashi,Sauber,12,6,8,Finished
2010,10,British Grand Prix,silverstone,vettel,Red Bull,1,7,6,Finished
2010,10,British Grand Prix,silverstone,sutil,Force India,11,8,4,Finished
2010,10,British Grand Prix,silverstone,michael_schumacher,Mercedes,10,9,2,Finished
2010,10,British Grand Prix,silverstone,hulkenberg,Williams,13,10,1,Finished
2010,10,British Grand Prix,silverstone,liuzzi,Force India,20,11,0,Finished
2010,10,British Grand Prix,silverstone,buemi,Toro Rosso,16,12,0,Finished
2010,10,British Grand Prix,silverstone,petrov,Renault,15,13,0,Finished
2010,10,British Grand Prix,silverstone,alonso,Ferrari,3,14,0,Finished
2010,10,British Grand Prix,silverstone,massa,Ferrari,7,15,0,Finished
2010,10,British Grand Prix,silverstone,trulli,Lotus,21,16,0,+1 Lap
2010,10,British Grand Prix,silverstone,kovalainen,Lotus,18,17,0,+1 Lap
2010,10,British Grand Prix,silverstone,glock,Virgin,19,18,0,+2 Laps
2010,10,British Grand Prix,silverstone,chandhok,HRT,23,19,0,+2 Laps
2010,10,British Grand Prix,silverstone,yamamoto,HRT,24,20,0,+2 Laps
2010,10,British Grand Prix,silverstone,alguersuari,Toro Rosso,17,21,0,Brakes
2010,10,British Grand Prix,silverstone,rosa,Sauber,9,22,0,Collision
2010,10,British Grand Prix,silverstone,kubica,Renault,6,23,0,Driveshaft
2010,10,British Grand Prix,silverstone,grassi,Virgin,22,24,0,Hydraulics
2010,11,German Grand Prix,hockenheimring,alonso,Ferrari,2,1,25,Finished
2010,11,German Grand Prix,hockenheimring,massa,Ferrari,3,2,18,Finished
2010,11,German Grand Prix,hockenheimring,vettel,Red Bull,1,3,15,Finished
2010,11,German Grand Prix,hockenheimring,hamilton,McLaren,6,4,12,Finished
2010,11,German Grand Prix,hockenheimring,button,McLaren,5,5,10,Finished
2010,11,German Grand Prix,hockenheimring,webber,Red Bull,4,6,8,Finished
2010,11,German Grand Prix,hockenheimring,kubica,Renault,7,7,6,+1 Lap
2010,11,German Grand Prix,hockenheimring,rosberg,Mercedes,9,8,4,+1 Lap
2010,11,German Grand Prix,hockenheimring,michael_schumacher,Mercedes,11,9,2,+1 Lap
2010,11,German Grand Prix,hockenheimring,petrov,Renault,13,10,1,+1 Lap
2010,11,German Grand Prix,hockenheimring,kobayashi,Sauber,12,11,0,+1 Lap
2010,11,German Grand Prix,hockenheimring,barrichello,Williams,8,12,0,+1 Lap
2010,11,German Grand Prix,hockenheimring,hulkenberg,Williams,10,13,0,+1 Lap
2010,11,German Grand Prix,hockenheimring,rosa,Sauber,14,14,0,+1 Lap
2010,11,German Grand Prix,hockenheimring,alguersuari,Toro Rosso,15,15,0,+1 Lap
2010,11,German Grand Prix,hockenheimring,liuzzi,Force India,21,16,0,+2 Laps
2010,11,German Grand Prix,hockenheimring,sutil,Force India,19,17,0,+2 Laps
2010,11,German Grand Prix,hockenheimring,glock,Virgin,23,18,0,+3 Laps
2010,11,German Grand Prix,hockenheimring,bruno_senna,HRT,20,19,0,+4 Laps
2010,11,German Grand Prix,hockenheimring,kovalainen,Lotus,18,20,0,Collision
2010,11,German Grand Prix,hockenheimring,grassi,Virgin,24,21,0,Gearbox
2010,11,German Grand Prix,hockenheimring,yamamoto,HRT,22,22,0,Engine
2010,11,German Grand Prix,hockenheimring,trulli,Lotus,17,23,0,Gearbox
2010,11,German Grand Prix,hockenheimring,buemi,Toro Rosso,16,24,0,Collision
